iter	Logloss
0	0.6856333886
1	0.6787949709
2	0.6718092616
3	0.6652305821
4	0.6585195384
5	0.6529584835
6	0.6472750666
7	0.6416691317
8	0.6359930342
9	0.6302339984
10	0.6255449229
11	0.6204803177
12	0.6155390947
13	0.6103106215
14	0.6060908149
15	0.6017131719
16	0.5971185445
17	0.5925389007
18	0.5879893129
19	0.5839088325
20	0.5791143861
21	0.5747433337
22	0.5703482198
23	0.5665146935
24	0.5627494148
25	0.5586502645
26	0.5550394325
27	0.5513989261
28	0.5485425545
29	0.5450704144
30	0.5416616903
31	0.5385469272
32	0.5353648164
33	0.5321428896
34	0.5294548067
35	0.5266536145
36	0.5244017243
37	0.5215228993
38	0.518923905
39	0.5165783178
40	0.5138289058
41	0.5112870203
42	0.508983433
43	0.5064676034
44	0.504334964
45	0.5020523467
46	0.499871176
47	0.4979548961
48	0.4960145442
49	0.4939298607
50	0.4921043926
51	0.4902694426
52	0.4887422147
53	0.4870253838
54	0.4852464795
55	0.4834917878
56	0.4819699611
57	0.4804133874
58	0.47880682
59	0.4772681585
60	0.4763648141
61	0.4751297164
62	0.4740530725
63	0.4727872474
64	0.4713899255
65	0.4700621306
66	0.4686824512
67	0.4673376984
68	0.4662415513
69	0.4650381423
70	0.4640608288
71	0.4629094079
72	0.4617603241
73	0.4605999289
74	0.4596732763
75	0.4586948224
76	0.4581730809
77	0.4575431481
78	0.4565532539
79	0.4557830704
80	0.4548816983
81	0.4539555259
82	0.4531877669
83	0.4523134669
84	0.451352024
85	0.4505170681
86	0.4495685751
87	0.4487684464
88	0.4479438065
89	0.4472664966
90	0.4465462413
91	0.4457184643
92	0.4448987771
93	0.4443293716
94	0.4436631979
95	0.4429853431
96	0.4423824977
97	0.4418773439
98	0.4414158251
99	0.4407588274
100	0.4401612143
101	0.4395508452
102	0.4389695877
103	0.438388906
104	0.4379242701
105	0.4374072807
106	0.437024524
107	0.4365686103
108	0.4359735057
109	0.4356090331
110	0.435206438
111	0.4346925609
112	0.4340830773
113	0.4336628218
114	0.4331954144
115	0.4328552736
116	0.4324284268
117	0.4320475405
118	0.4315140902
119	0.4311248869
120	0.4306659216
121	0.4302882072
122	0.4297427082
123	0.4295226762
124	0.4290887905
125	0.4287965438
126	0.4283706604
127	0.4278928991
128	0.4275638275
129	0.4272214782
130	0.4268775747
131	0.4265135906
132	0.426125407
133	0.425892586
134	0.4255796105
135	0.4252451382
136	0.4248475903
137	0.4244560903
138	0.4240050193
139	0.4237049528
140	0.4233837439
141	0.4231424279
142	0.422805336
143	0.4223960337
144	0.422103601
145	0.4219433533
146	0.4217773225
147	0.4215489312
148	0.4211769474
149	0.4210811763
150	0.4208661362
151	0.420542039
152	0.4201665812
153	0.4198840549
154	0.4195652252
155	0.4193657848
156	0.4191274487
157	0.4188801307
158	0.4186620101
159	0.4184194988
160	0.4182198382
161	0.4181573924
162	0.418083079
163	0.4177708016
164	0.4177170225
165	0.4175693556
166	0.4172993853
167	0.41704912
168	0.4168504469
169	0.4166503931
170	0.4165003702
171	0.4162593637
172	0.4161259922
173	0.4159470871
174	0.4156878162
175	0.4154494891
176	0.415265711
177	0.4151106887
178	0.4149144328
179	0.4147472378
180	0.4145701653
181	0.4143682236
182	0.414166244
183	0.4139680723
184	0.4137679978
185	0.413556485
186	0.4133340067
187	0.4132847485
188	0.4130882255
189	0.4129276812
190	0.4127165605
191	0.4125451343
192	0.412367472
193	0.4122832087
194	0.4120552348
195	0.4118754198
196	0.4117299632
197	0.4115371704
198	0.4113757649
199	0.4112010421
200	0.4111036576
201	0.4109289567
202	0.4107707846
203	0.410566613
204	0.4104068799
205	0.4102681954
206	0.4101894462
207	0.4100234096
208	0.4099240411
209	0.4097609585
210	0.4095826157
211	0.4094241245
212	0.4092912633
213	0.4091410562
214	0.4090643745
215	0.4089403541
216	0.4088755585
217	0.4087277718
218	0.4085893467
219	0.408470402
220	0.4084071299
221	0.4082513729
222	0.4082060505
223	0.4080139052
224	0.4079111185
225	0.4077956027
226	0.4077131113
227	0.4075986867
228	0.407533287
229	0.4074115734
230	0.4073760897
231	0.4072160064
232	0.4070856019
233	0.4070260639
234	0.4069008149
235	0.4068343291
236	0.4067793745
237	0.4067131008
238	0.4066661229
239	0.4065510487
240	0.4064258266
241	0.4063062047
242	0.4062448392
243	0.4061490903
244	0.4060595434
245	0.4059738438
246	0.4058248964
247	0.4057186344
248	0.4056325011
249	0.4054922282
250	0.4054279047
251	0.4053100847
252	0.4051479014
253	0.4050073842
254	0.404930674
255	0.4048202608
256	0.4047412463
257	0.4045925683
258	0.4044969955
259	0.4044360667
260	0.4043911594
261	0.4042621593
262	0.4041970829
263	0.4040404576
264	0.4039326623
265	0.4038401832
266	0.4037484975
267	0.4036561202
268	0.4034981665
269	0.4033938993
270	0.4033054155
271	0.4032494288
272	0.4031640473
273	0.4030859941
274	0.4030077491
275	0.4029100479
276	0.4027712731
277	0.4026960862
278	0.4025537782
279	0.4024599309
280	0.402384986
281	0.402287426
282	0.4021955019
283	0.4021624586
284	0.4021270148
285	0.402110147
286	0.4020562605
287	0.4019428775
288	0.401871583
289	0.401865056
290	0.4017946609
291	0.4017492578
292	0.4016713811
293	0.4016636205
294	0.4015987974
295	0.4014978696
296	0.4014810905
297	0.4014230829
298	0.4013767262
299	0.4012767568
300	0.4012070513
301	0.4011590963
302	0.4010650081
303	0.4010250835
304	0.4009595753
305	0.4008524552
306	0.4008457852
307	0.4007761528
308	0.4007327937
309	0.4006509165
310	0.4005864718
311	0.4004874957
312	0.4004014771
313	0.4003608424
314	0.4002706597
315	0.4002125064
316	0.4002114142
317	0.4001694428
318	0.4000922197
319	0.4000865339
320	0.4000231684
321	0.3999905418
322	0.3999131706
323	0.3998282253
324	0.3998248505
325	0.3997908485
326	0.3997485403
327	0.3996839936
328	0.3996439231
329	0.3996411054
330	0.399465549
331	0.3994368908
332	0.3993939287
333	0.399366288
334	0.3993042217
335	0.3992124103
336	0.3992051134
337	0.3992028289
338	0.3991566901
339	0.3991177165
340	0.3990815509
341	0.398972555
342	0.3988823751
343	0.3988579461
344	0.3987624601
345	0.3986906457
346	0.3986818408
347	0.3986019145
348	0.3984865176
349	0.3984202399
350	0.398335645
351	0.3982192655
352	0.3981099427
353	0.3980379556
354	0.3979803602
355	0.3979565626
356	0.3978992678
357	0.3978497763
358	0.3978213823
359	0.3977465491
360	0.3976871949
361	0.3975888134
362	0.3975221325
363	0.3975037835
364	0.3973767088
365	0.3973317033
366	0.3972999067
367	0.3972530371
368	0.3972412257
369	0.3971437386
370	0.3970805871
371	0.3970448519
372	0.3969949879
373	0.3968863092
374	0.3968789025
375	0.3968371334
376	0.3968257761
377	0.3967800942
378	0.3966934615
379	0.3966323992
380	0.3966169836
