iter	Passed	Remaining
0	4	8694
1	8	8128
2	11	7697
3	14	7462
4	18	7300
5	21	7290
6	26	7594
7	30	7549
8	34	7584
9	37	7540
10	41	7456
11	45	7546
12	49	7497
13	51	7317
14	56	7532
15	60	7551
16	64	7508
17	67	7475
18	72	7577
19	76	7616
20	79	7452
21	82	7409
22	85	7331
23	88	7263
24	91	7221
25	94	7146
26	113	8283
27	116	8186
28	119	8092
29	122	8052
30	125	7951
31	128	7876
32	131	7811
33	133	7736
34	136	7681
35	140	7638
36	143	7607
37	146	7553
38	149	7498
39	151	7444
40	154	7402
41	157	7362
42	161	7329
43	163	7279
44	166	7239
45	170	7225
46	173	7216
47	176	7194
48	179	7161
49	182	7127
50	185	7095
51	188	7068
52	191	7034
53	194	7008
54	197	6984
55	200	6956
56	203	6937
57	206	6913
58	209	6893
59	212	6868
60	215	6842
61	218	6832
62	221	6807
63	224	6786
64	227	6768
65	230	6746
66	233	6728
67	236	6715
68	239	6704
69	243	6715
70	246	6700
71	249	6687
72	252	6671
73	255	6653
74	258	6639
75	261	6621
76	264	6614
77	268	6608
78	271	6590
79	274	6580
80	277	6564
81	280	6554
82	283	6547
83	286	6533
84	289	6523
85	292	6507
86	295	6501
87	299	6501
88	302	6492
89	305	6482
90	308	6468
91	311	6464
92	316	6487
93	320	6493
94	326	6540
95	329	6536
96	333	6535
97	336	6525
98	339	6516
99	342	6507
100	345	6497
101	348	6490
102	351	6478
103	355	6471
104	357	6457
105	360	6446
106	364	6443
107	367	6430
108	370	6423
109	373	6410
110	376	6399
111	379	6399
112	382	6388
113	385	6383
114	388	6375
115	391	6364
116	395	6364
117	398	6355
118	406	6427
119	409	6418
120	412	6412
121	415	6402
122	419	6396
123	422	6388
124	425	6382
125	429	6386
126	432	6378
127	435	6367
128	438	6357
129	441	6347
130	444	6347
131	447	6339
132	450	6330
133	453	6320
134	456	6310
135	460	6313
136	464	6314
137	467	6307
138	470	6298
139	473	6289
140	477	6291
141	480	6283
142	483	6276
143	486	6269
144	489	6264
145	493	6266
146	497	6265
147	500	6260
148	503	6256
149	507	6257
150	510	6249
